[2013-10-11 13:17:31,231](INFO)chinaluxus : des: 豪华轿车在整个汽车业界的地位以及需求量向来都是毋庸置疑的，凭借着良好的舒适性和广泛的适用范围，豪华轿车也一直都是富豪们购车时的第一…
[2013-10-11 13:17:32,035](INFO)chinaluxus : have many page
[2013-10-11 13:17:35,428](INFO)chinaluxus : body: catch
[2013-10-11 13:17:35,428](INFO)chinaluxus : category: car
[2013-10-11 13:17:35,612](INFO)chinaluxus : done one
[2013-10-11 13:17:35,613](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20131009/287450.html
[2013-10-11 13:17:35,617](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20131009/287450.html
[2013-10-11 13:17:35,618](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20131009/287451.html
[2013-10-11 13:17:35,623](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20131009/287451.html
[2013-10-11 13:17:35,624](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20131008/287405.html
[2013-10-11 13:17:35,628](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20131008/287405.html
[2013-10-11 13:17:35,629](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20131001/287358.html
[2013-10-11 13:17:35,636](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20131001/287358.html
[2013-10-11 13:17:35,637](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130930/287312.html
[2013-10-11 13:17:35,642](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130930/287312.html
[2013-10-11 13:17:35,643](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130930/287348.html
[2013-10-11 13:17:35,649](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130930/287348.html
[2013-10-11 13:17:35,650](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130930/287325.html
[2013-10-11 13:17:35,656](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130930/287325.html
[2013-10-11 13:17:35,657](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130929/287291.html
[2013-10-11 13:17:35,664](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130929/287291.html
[2013-10-11 13:17:35,665](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130927/287230.html
[2013-10-11 13:17:35,670](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130927/287230.html
[2013-10-11 13:17:35,671](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130927/287249.html
[2013-10-11 13:17:35,677](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130927/287249.html
[2013-10-11 13:17:35,678](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130925/287107.html
[2013-10-11 13:17:35,684](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130925/287107.html
[2013-10-11 13:17:35,685](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130924/287062.html
[2013-10-11 13:17:35,691](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130924/287062.html
[2013-10-11 13:17:35,692](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130924/287082.html
[2013-10-11 13:17:35,697](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130924/287082.html
[2013-10-11 13:17:35,699](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130923/287005.html
[2013-10-11 13:17:35,704](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130923/287005.html
[2013-10-11 13:17:35,705](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130923/287023.html
[2013-10-11 13:17:35,709](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130923/287023.html
[2013-10-11 13:17:35,710](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130922/286987.html
[2013-10-11 13:17:35,714](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130922/286987.html
[2013-10-11 13:17:35,715](INFO)chinaluxus : link: http://drive.chinaluxus.com/Lif/20130922/286964.html
[2013-10-11 13:17:35,721](INFO)chinaluxus : already have http://drive.chinaluxus.com/Lif/20130922/286964.html
[2013-10-11 15:05:57,716](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1522
[2013-10-11 15:05:57,773](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1522
[2013-10-11 15:05:57,773](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1520
[2013-10-11 15:05:57,778](INFO)527motor : already have http://www.527motor.com/portal.php?mod=view&aid=1520
[2013-10-11 15:05:57,779](INFO)527motor : link: http://www.527motor.com/portal.php?mod=view&aid=1509
